,student_id,prompt_id,text,content,wording,text_count,average_token_length,wf_relativity,punct_count,wf_prompt,misspelled_words
0,00791789cc1f,39c16e,1 element of an ideal tragedy is that it should be arranged on a complex plan.  Another element of an ideal tragedy is that it should only have one main issue. The last element of an ideal tragedy is that it should have a double thread plot and an opposite catastrophe for both good and bad.,-0.21061393416659302,-0.471414826967448,56,6.142857142857143,0.7396264259746771,3,0.3805649682224895,0
1,0086ef22de8f,39c16e,"The three elements of an ideal tragedy are:  Having a character that isn't bad have misfortune befall them.,  Having no subplots, and ending in death.  ",-0.9702366933527019,-0.417058297304168,25,5.882352941176471,0.27522878275040746,6,0.14150751885569732,2
2,0094589c7a22,39c16e,"Aristotle states that an ideal tragedy should have a ""complex plan"" (a well-thought-out plot), ""imitate actions which excite pity and fear"" (present ideas that might evoke certain emotions from the audience), and should only have a ""single... issue"", with the ""change of fortune"" being from ""good to bad"" (or a character's downfall). ",-0.387791203829632,-0.584181287616185,52,5.26,0.6001002883289457,26,0.30534518028076646,1
3,00cd5736026a,39c16e,One element of an Ideal tragedy is having a complex plan that imitates action that excite pity and fear to result in shock for the audience. Another element is that an ideal tragedy should be relatable to the audience. The character that experiences the tragedy should be neither good nor bad and simply made a very big mistake.,0.0888824040334871,-0.594710121694779,58,6.636363636363637,0.7362103547699635,3,0.37922203657146425,0
4,00d98b8ff756,39c16e,"The 3 ideal of tragedy is how complex you need to make it for the reader it keeps the reader shocked and ineretsed the second ideal is how a character is portraded either terrible or good and lasty ""second rank"" is whats called when a tragyed happends because the audience wants it to happend however it more for comdey purpose.",-0.687287542029713,-0.46088599288885296,60,6.676470588235294,0.36520621787639457,3,0.1929761551554522,6
5,00db6d2b9222,39c16e,"Tragedy much b complex, Tragedy much b complex, t must be a man that is NOT perfect, and their downfall is a result of a mistake or weakness.",-1.5471632167878797,-1.46124482282529,28,5.421052631578948,0.13285069575028208,4,0.07211230656318807,2
6,0106a4b99776,39c16e,"One element of a perfect tragery in Aristotle's opinion is a plot that is arranged ""...not on the simple but on the complex..."" In other words, Aristotle believes good trageries have complex plotlines. He also thinks they need to have actions that ""...excite pity and fear...the distinctive mark of tragin imitation."" Aristotle believes good trageries incite negative emotions which cause the events of the plot. Finally, Aristitle believes the perfect tragedy should have a downfall caused by ""...some error of judgement or fraility."" The character should not be neither good nor evil, and should somply have made a mistake.",1.19964242006474,1.07890647099528,99,6.32,0.7253666792027077,30,0.38993425881103705,9
7,011acba6c31c,39c16e,"It should have a character that people can relate to, it should have the characters downfall be of some kind of error or frailty, and provoke fear and pity in the reader.",-1.26421406546489,-1.50507251840997,32,6.2,0.16939325560987836,3,0.09241243617170786,0
8,014da834aab7,39c16e,"A tragedy should feature a character who can be seen as either good or evil. By the end of their story, the protagonist would have to have committed a terrible mistake and pay the price for it at the end.  A tragedy should also give fortune to the character, but then slowly introduces the factors that will bring them down. Finally, in order to write a tragedy, you have to make sure that the audience can determine that it's a tragedy, and not something like a comedy. Avoid writting similar to the Odyssey.",0.670351243803345,1.5516328195037499,93,6.132075471698113,0.6476118841669802,11,0.34138571807804613,0
9,016714bf867a,39c16e,"In the second paragraph Aritole explained, ""A perfect tradegy, as we have seen, be arranged not on the simple but on the complex plan. It should, moreover, imitate actions which exile pity and fear, this being the distinctive mark of tragic imitation.""",-1.5471632167878797,-1.46124482282529,42,5.838709677419355,0.21596464836404664,10,0.12328424866097222,2
10,01845ca325d8,39c16e,Aristotle explains that an ideal tragedy should end dramaticly and not happily.He shows that not ending with a bang does not please the audience. He also explains how the plot should begin with one issue rather than two. Lastly he explains that tragic effect wins.,0.20568250648264103,0.38053763876228797,45,6.392857142857143,0.3128055660022565,4,0.16444666531332475,2
11,01ac72b9619b,39c16e,An ideal tragedy should have a plot that issues an opposite catasrophe for the good and the bad parts. A tragedy should also invlove deep personal relationship to something or someone. The third element of tragedy should imitate actions of pitty and fear.  ,-0.21061393416659302,-0.471414826967448,43,6.703703703703703,0.5959633947599348,3,0.30353378410031395,2
12,01de02d67dc5,39c16e,"Aristotle believes trades should on a complex plan. It should imitate actions which excite pity or fear. And tragedy is alien to the spirit, and that should never be expressed . This is because a virtuous man should always express prosperity, and eventually allow it to become adversity.",-0.8192483577610359,-0.63104096568684,48,6.433333333333334,0.3187601855334085,6,0.17152047970767811,0
13,01dea6804ab3,39c16e,"One element of an ideal tragedy is having a complex plan, not simple. It should show pity and fear. Another characteristic is a well-constructed plot, there should be one problem, rather than multiple. Lastly,  the kind of tragedy that takes place,  and the twist ending. ",0.0292421863172845,-0.9299989809043071,45,5.764705882352941,0.486931177134261,10,0.25659363825169035,1
14,01f859d90ae0,39c16e,"It should not be simple it should be complex , It should imitate actions which excite pity and fear , and error in judgment or by some weakness that he has .",-1.26421406546489,-1.50507251840997,32,5.923076923076923,0.1863169111194685,3,0.09447368010118833,0
15,020d6a067196,39c16e," Characters should imitate actions that excite pity and fear.  A plot of this kind would, doubtless, satisfy the moral sense, but it would inspire neither pity nor fear. The change of fortune should be not from bad to good, but, reversely, from good to bad.",-0.981264914141905,-1.5489002139946597,45,5.352941176470588,0.5602670176758179,9,0.28899576820375084,1
16,0271baf2b78f,39c16e,"One main element of an ideal tragedy is that of a single unified plot.  This means that the story follows the actions and resolution of the main character only, and focuses on the character's change of fortune froom good to bad. Another element most crucial to a tragedy is that the plot must incite both fear and pity for all who watch the play. If the play ends with a ""feel good"" moment, then it has failed as a tragedy, as it doesn't incite fear and pity. The purpose of tragedy is not to  satisfy some moral sense, but to inspire feelings appropriate to witnessing a tragedy, to experience a ""cleansing"" of watching someone else suffer.  Lastly, an ideal tragedy must have a protagonist that is not overly righteous or holy, but is not depraved; the character is somewhat middle of the road.  By having the character behave in this way it makes the story more realistic and true, making the character's journey that much more engaging for the audience.  When the audience sees a tragic event occur to a plausible character because of a mistake or slight misfortune, the feeling of tragedy is heightened because it seems more true.",3.34823182563613,3.5177534544041498,200,6.288,1.6598972044628304,25,0.8731710363996941,2
17,02c4d34dd4d8,39c16e,"Hero must go from prosperity to adversity(downfall/conflict), the downfall/conflict must happen to a good peron, not an evil one, and the downfall has to have meaning.",-0.5110772107333129,-1.5891145490863299,26,6.190476190476191,0.143349630186787,8,0.0797951248457971,3
18,02d8aa208fec,39c16e,"Elements of an ideal tragedy, as described by Aristotle, are that change of fortune should go from good to bad and not the other way around. Another element is that it would inspire neither pity nor fear but satisfy the moral sense. And finally, it is a story of complexity, not simplicity.",-0.0024657138419762,-0.04543859410258,52,6.0,0.4891876645355396,7,0.2584050344321429,0
19,02e29e600861,39c16e,Aristole belived that to have an ideal tragedy you need to have readers and watchers tp feel many emotions such as pity and fear. To have a perfect tragety you also need to have a carachter who is sucessful and reowned. Aristole belived that a story should have a sudden chnage like if things are going bad have them go good vise versa ,0.297030624358104,-0.16873388882991197,63,6.285714285714286,0.3865488278801554,2,0.2128702821718016,8
